tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
15655,tt0220099,The Tigger Movie,2000,"Animation, Family, Comedy",30000000,45554533,6.574,604
10391,tt0163983,Bless the Child,2000,"Drama, Horror, Thriller, Crime",40000000,40443010,5.321,304
16,tt0168629,Dancer in the Dark,2000,"Drama, Crime",12500000,40061153,7.8,1955
77,tt0209144,Memento,2000,"Mystery, Thriller",9000000,40060108,8.176,15978
4958,tt0146984,The Legend of Bagger Vance,2000,"Drama, Romance, Fantasy",80000000,39459427,6.593,971
12212,tt0192731,Urban Legends: Final Cut,2000,"Horror, Mystery",14000000,38574362,4.9,512
23618,tt0236388,The Original Kings of Comedy,2000,"Comedy, Documentary",13000000,38251106,6.4,66
10862,tt0186894,Bounce,2000,"Drama, Romance",35000000,36779296,5.798,406
116011,tt0254924,'N Sync: Live from Madison Square Garden,2000,"Music, Documentary, TV Movie",0,36757613,7.6,9
7450,tt0120913,Titan A.E.,2000,"Animation, Science Fiction, Adventure, Family, Action",75000000,36754634,6.608,1161
2621,tt0122459,Return to Me,2000,"Romance, Comedy",24000000,36600000,6.644,463
17908,tt0156812,My Dog Skip,2000,"Comedy, Drama, Family",6000000,35547761,6.707,287
17711,tt0131704,The Adventures of Rocky & Bullwinkle,2000,"Family, Adventure, Animation, Comedy, Fantasy",76000000,35100000,4.269,389
11973,tt0146309,Thirteen Days,2000,"History, Thriller",80000000,34566746,7.001,814
1359,tt0144084,American Psycho,2000,"Thriller, Drama, Crime",7000000,34269748,7.4,12065
10564,tt0198021,Where the Heart Is,2000,"Comedy, Drama, Romance",15000000,33800000,7.099,736
8870,tt0199753,Red Planet,2000,"Thriller, Action, Science Fiction",80000000,33463969,5.721,1134
11004,tt0185014,Wonder Boys,2000,"Comedy, Drama",35000000,33426588,6.824,647
2155,tt0184858,Reindeer Games,2000,"Thriller, Action, Crime",42000000,32168970,5.7,717
10383,tt0160484,Lost Souls,2000,"Horror, Thriller, Drama",50000000,31355910,5.0,197
31352,tt1147513,Doraemon: Nobita and the Legend of the Sun King,2000,"Animation, Adventure, Fantasy, Science Fiction, Family",0,31300000,7.0,57
3176,tt0266308,Battle Royale,2000,"Drama, Thriller, Action",4500000,30600000,7.3,3746
11398,tt0160009,The Art of War,2000,"Action, Thriller, Crime",40000000,30199105,5.692,541
10569,tt0196216,Small Time Crooks,2000,"Comedy, Crime",25000000,29934477,6.435,732
5491,tt0185183,Battlefield Earth,2000,"Science Fiction, Action, Adventure",44000000,29725663,3.321,917
10480,tt0171580,Nurse Betty,2000,"Comedy, Crime, Thriller",24000000,29364989,6.1,425
14181,tt0181984,Boiler Room,2000,"Crime, Drama, Thriller",7000000,28780255,6.714,728
24100,tt0192255,The Little Vampire,2000,"Family, Adventure, Comedy, Fantasy",35000000,27965865,6.884,454
14736,tt0199725,Love & Basketball,2000,"Comedy, Drama, Romance",20000000,27728118,7.333,463
10560,tt0210616,Center Stage,2000,"Drama, Music",29000000,26400000,6.884,358
2360,tt0195234,Saving Grace,2000,"Crime, Comedy",10000000,26330482,6.5,431
1831,tt0156841,The Next Best Thing,2000,"Comedy, Drama, Romance",25000000,24362772,5.226,197
20677,tt1068773,Detective Conan: Captured in Her Eyes,2000,"Animation, Crime, Drama, Mystery, Adventure",0,23211413,7.4,197
10763,tt0205271,Dr. T & the Women,2000,"Comedy, Drama, Romance",23000000,22844291,4.9,345
75571,tt0313441,Our War Game,2000,"Adventure, Animation, Action, Science Fiction",0,22800000,8.0,67
6521,tt0208874,The Contender,2000,"Drama, Thriller",20000000,22428990,6.684,261
24977,tt0245280,Michael Jordan to the Max,2000,Documentary,0,21268532,7.389,36
55,tt0245712,Amores Perros,2000,"Drama, Thriller",2000000,20908467,7.633,2859
10571,tt0204175,Boys and Girls,2000,"Comedy, Drama, Romance",16000000,20627372,5.942,414
11518,tt0213890,Mohabbatein,2000,"Drama, Romance",4000000,20000000,7.06,282
16110,tt0205461,Thomas and the Magic Railroad,2000,"Family, Fantasy, Adventure",19000000,19748009,5.328,93
10461,tt0208988,Get Carter,2000,"Action, Drama, Thriller, Crime",63600000,19412993,5.195,636
1619,tt0202677,The Way of the Gun,2000,"Action, Crime, Drama, Thriller",8500000,19125401,6.326,479
21355,tt0149624,All the Pretty Horses,2000,"Drama, Romance, Western",57000000,18133495,5.7,235
10876,tt0180073,Quills,2000,Drama,13500000,17989227,7.128,706
18681,tt0120662,Eye of the Beholder,2000,"Mystery, Thriller",15000000,17589705,4.882,165
20455,tt0259974,Digimon: The Movie,2000,"Fantasy, Animation, Science Fiction, Family",5500000,16600000,6.514,290
112,tt0243862,Italian for Beginners,2000,"Comedy, Drama, Romance",1000000,16350876,6.397,150
843,tt0118694,In the Mood for Love,2000,"Drama, Romance",3000000,15867968,8.092,3178
12211,tt0144964,Highlander: Endgame,2000,"Action, Adventure, Fantasy",25000000,15843608,4.821,447
14805,tt0211938,Bait,2000,"Action, Thriller, Crime",35000000,15500000,5.71,212
25166,tt0186045,Drowning Mona,2000,"Comedy, Crime, Mystery",6000000,15427192,5.455,188
327,tt0222851,Brother,2000,"Crime, Drama, Thriller",12000000,15250000,7.1,514
11849,tt0190374,Dungeons & Dragons,2000,"Drama, Adventure, Fantasy",35000000,15185241,4.357,676
131940,tt0151150,Josh,2000,"Romance, Drama",6900000,15000000,6.0,73
10384,tt0134983,Supernova,2000,"Science Fiction, Horror, Thriller",90000000,14828081,4.938,426
10867,tt0213847,Malena,2000,Drama,0,14493284,7.426,2460
21311,tt0167203,I Dreamed of Africa,2000,"Romance, Drama, Adventure",34000000,14400327,5.387,84
10416,tt0181151,What Planet Are You From?,2000,"Comedy, Drama, Romance, Science Fiction",60000000,14100000,5.407,165
16888,tt0213790,The Ladies Man,2000,Comedy,24000000,13700000,5.3,148
43555,tt0269009,Body Guards,2000,Comedy,0,12963702,5.1,311
18079,tt0247586,Nine Queens,2000,"Crime, Thriller, Drama",1300000,12413888,7.757,801
20697,tt0217756,Ready to Rumble,2000,"Action, Comedy",24000000,12372410,5.2,167
2046,tt0219699,The Gift,2000,"Horror, Drama, Thriller, Mystery",10000000,12008642,6.473,1355
