title,release_date,budget,revenue,runtime,genres,release_year,title_clean,film,year_film,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
On the Road Again: 'Two-Lane Blacktop' Revisited,2007-12-11,0.0,0.0,43.0,['Documentary'],2007,on the road again twolane blacktop revisited,,,0.0,0.0,False,False
Hitman,2007-11-21,24000000.0,101276318.0,89.0,"['Action', 'Thriller', 'Drama']",2007,hitman,,,0.0,0.0,False,False
Křišťálek meč,2007-12-26,0.0,0.0,0.0,"['TV Movie', 'Fantasy', 'Family']",2007,kilek me,,,0.0,0.0,False,False
The Girl Next Door,2007-07-19,0.0,0.0,91.0,"['Thriller', 'Crime', 'Drama', 'Horror']",2007,the girl next door,,,0.0,0.0,False,False
Rock Pockets,2007-03-01,0.0,0.0,5.0,['Documentary'],2007,rock pockets,,,0.0,0.0,False,False
Epic Movie,2007-01-25,20000000.0,87238158.0,85.0,"['Comedy', 'Adventure', 'Fantasy']",2007,epic movie,,,0.0,0.0,False,False
Fracture,2007-04-19,10000000.0,91354215.0,113.0,['Thriller'],2007,fracture,,,0.0,0.0,False,False
Temptation,2007-08-16,0.0,0.0,78.0,['Drama'],2007,temptation,,,0.0,0.0,False,False
Lawine,2007-11-25,0.0,0.0,89.0,['Drama'],2007,lawine,,,0.0,0.0,False,False
Awake,2007-11-28,86000000.0,14373825.0,84.0,"['Thriller', 'Crime', 'Mystery']",2007,awake,,,0.0,0.0,False,False
Fiestapatria,2007-04-26,0.0,0.0,100.0,['Drama'],2007,fiestapatria,,,0.0,0.0,False,False
Holy Work,2007-06-06,0.0,0.0,110.0,"['Comedy', 'Adventure']",2007,holy work,,,0.0,0.0,False,False
The Dark Knight,2008-07-16,185000000.0,1004558444.0,152.0,"['Action', 'Crime', 'Thriller']",2008,the dark knight,The Dark Knight,2008.0,8.0,2.0,True,True
WALL·E,2008-06-22,180000000.0,521311860.0,98.0,"['Animation', 'Family', 'Science Fiction']",2008,walle,WALL-E,2008.0,6.0,1.0,True,True
Iron Man,2008-04-30,140000000.0,585174222.0,126.0,"['Action', 'Science Fiction', 'Adventure']",2008,iron man,Iron Man,2008.0,2.0,0.0,True,False
Formidable,2008-04-30,0.0,0.0,82.0,"['Drama', 'Comedy']",2008,formidable,,,0.0,0.0,False,False
Twilight,2008-11-20,37000000.0,393616788.0,122.0,"['Fantasy', 'Drama', 'Romance']",2008,twilight,,,0.0,0.0,False,False
Kung Fu Panda,2008-06-04,130000000.0,632091832.0,90.0,"['Animation', 'Family', 'Comedy', 'Action']",2008,kung fu panda,Kung Fu Panda,2008.0,1.0,0.0,True,False
Taken,2008-02-18,25000000.0,226830568.0,94.0,"['Action', 'Thriller']",2008,taken,,,0.0,0.0,False,False
The Boy in the Striped Pyjamas,2008-05-07,12500000.0,20416563.0,94.0,"['Drama', 'War', 'History']",2008,the boy in the striped pyjamas,,,0.0,0.0,False,False
Kung Fu Panda: Secrets of the Furious Five,2008-11-08,0.0,0.0,25.0,"['Animation', 'Family', 'Action']",2008,kung fu panda secrets of the furious five,,,0.0,0.0,False,False
The Incredible Hulk,2008-06-12,150000000.0,264770996.0,114.0,"['Science Fiction', 'Action', 'Adventure']",2008,the incredible hulk,,,0.0,0.0,False,False
Rambo,2008-01-24,50000000.0,113200000.0,92.0,"['Action', 'Thriller', 'War']",2008,rambo,,,0.0,0.0,False,False
Quantum of Solace,2008-10-29,200000000.0,589593688.0,106.0,"['Adventure', 'Action', 'Thriller', 'Crime']",2008,quantum of solace,,,0.0,0.0,False,False
Martyrs,2008-06-12,6500000.0,1100000.0,99.0,"['Horror', 'Drama', 'Thriller']",2008,martyrs,,,0.0,0.0,False,False
My Friends,2008-05-18,0.0,0.0,26.0,"['Romance', 'Drama', 'Comedy']",2008,my friends,,,0.0,0.0,False,False
Bolt,2008-11-21,150000000.0,309979994.0,98.0,"['Animation', 'Family', 'Adventure', 'Comedy']",2008,bolt,Bolt,2008.0,1.0,0.0,True,False
Death Race,2008-08-22,45000000.0,76000000.0,105.0,"['Action', 'Thriller', 'Science Fiction']",2008,death race,,,0.0,0.0,False,False
Tropic Thunder,2008-08-09,92000000.0,195702811.0,107.0,"['Action', 'Comedy', 'Adventure', 'War']",2008,tropic thunder,Tropic Thunder,2008.0,1.0,0.0,True,False
The Curious Case of Benjamin Button,2008-12-25,150000000.0,335802786.0,166.0,"['Drama', 'Fantasy', 'Romance']",2008,the curious case of benjamin button,The Curious Case of Benjamin Button,2008.0,13.0,3.0,True,True
