title,release_date,budget,revenue,runtime,genres,release_year
Jason X,2001-11-09,11000000.0,17077882.0,91.0,"['Horror', 'Science Fiction']",2001
Dust,2001-08-29,0.0,0.0,127.0,"['Action', 'Drama', 'Romance', 'Western']",2001
Dost,2001-06-29,0.0,0.0,0.0,[],2001
Enemy at the Gates,2001-02-28,68000000.0,96976270.0,131.0,"['Drama', 'War', 'History', 'Romance']",2001
Karmina 2,2001-07-13,0.0,0.0,97.0,"['Comedy', 'Horror', 'Romance']",2001
Gosford Park,2001-12-26,19800000.0,87754044.0,137.0,"['Drama', 'Mystery', 'Thriller']",2001
The Slurb,2001-10-17,0.0,0.0,100.0,['Comedy'],2001
Sottovento,2001-06-15,0.0,0.0,0.0,['Drama'],2001
The Royal Tenenbaums,2001-10-05,21000000.0,71441250.0,110.0,"['Comedy', 'Drama']",2001
Private Lives,2001-03-24,0.0,0.0,97.0,['Drama'],2001
Zebra Lounge,2001-10-04,0.0,0.0,93.0,['Thriller'],2001
Das Schneeparadies,2001-12-23,0.0,0.0,90.0,"['Comedy', 'Romance', 'TV Movie']",2001
Kangkong,2001-07-08,0.0,0.0,101.0,['Comedy'],2001
Evolution,2001-06-08,80000000.0,98376292.0,102.0,"['Comedy', 'Science Fiction', 'Action']",2001
The Experiment,2001-03-08,0.0,13782896.0,120.0,"['Drama', 'Thriller']",2001
Swordfish,2001-06-08,102000000.0,147080413.0,99.0,"['Action', 'Crime', 'Thriller']",2001
Not Another Teen Movie,2001-12-07,16000000.0,66468332.0,89.0,['Comedy'],2001
Dependable People,2001-01-01,0.0,0.0,13.0,[],2001
Blow,2001-04-04,53000000.0,83300000.0,124.0,"['Crime', 'Drama']",2001
American Pie 2,2001-08-10,30000000.0,287553595.0,111.0,"['Comedy', 'Romance']",2001
Happy Campers,2001-01-21,15000000.0,0.0,94.0,"['Comedy', 'Romance', 'Drama']",2001
Spy Kids,2001-03-18,35000000.0,147934180.0,88.0,"['Family', 'Action', 'Comedy', 'Adventure', 'Science Fiction']",2001
Antonia,2001-11-08,0.0,0.0,100.0,['Drama'],2001
Thir13en Ghosts,2001-10-26,42000000.0,68467960.0,91.0,"['Horror', 'Thriller']",2001
The Animal,2001-06-01,22000000.0,84772742.0,83.0,"['Comedy', 'Science Fiction']",2001
Wasabi,2001-10-31,15300000.0,10366360.0,94.0,"['Drama', 'Action', 'Comedy']",2001
